,id,compania,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_punta,peaje_tran_dist_pot_valle,peaje_ener_valle_tdc,peaje_ener_llano_tdc,peaje_ener_punta_tdc,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia,margen_euros/kWh/dia,consumo_valle,consumo_llano,consumo_punta,total_actual,total_factura,coste_valle,coste_llano,coste_punta
49,49,Xenera ,A vaquiña contigo unica,0.070357,0.070357,0.0081915,0.000527,0.002752,0.027963,0.076974,0.131388,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,3.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,62.55681530406,13.1388,13.1388,13.1388
50,50,Xenera ,A vaquiña fija,0.070357,0.070357,0.0081915,0.000527,0.002752,0.027963,0.076974,0.125052,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,3.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,60.359091336060004,12.5052,12.5052,12.5052
51,51,Iris Energia,Fija relax,0.0983333,0.0314215,0.0081915,0.000527,0.002752,0.027963,0.076974,0.181958,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,78.84323468749203,18.195800000000002,18.195800000000002,18.195800000000002
52,52,Iris Energia,Residencial promocional,0.0832648,0.0575342,0.0081915,0.000527,0.002752,0.027963,0.076974,0.151646,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,69.59329546521,15.1646,15.1646,15.1646
53,53,Iris Energia,Residencial promocional plus,0.0832648,0.0574489,0.0081915,0.000527,0.002752,0.027963,0.076974,0.167846,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,75.20271221862302,16.7846,16.7846,16.7846
54,54,Watium,2,0.0969635,0.0738873,0.0081915,0.000527,0.002752,0.027963,0.076974,0.107939,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,57.872827300332,10.793899999999999,10.793899999999999,10.793899999999999
55,55,Fortuluz,Precio unico,0.096962,0.021832,0.0081915,0.000527,0.002752,0.027963,0.076974,0.177535,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,76.05443396826001,17.7535,17.7535,17.7535
56,56,Naturgy,Noche,0.1037,0.034,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0821,0.1162,0.17,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,59.221396883000004,8.21,11.62,17.0
57,57,Cepsa (Podo),Flexi Dos,0.08,0.004,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.148,0.148,0.195,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,67.26133435999999,14.799999999999999,14.799999999999999,19.5
58,58,Endesa,OneLuz 3 periodos,0.1057847,0.0388729,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.091271,0.123047,0.183535,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,63.43474451890401,9.1271,12.3047,18.3535
59,59,Energia XXI,PVPC,0.0081915,0.000527,0.061375,0.002128,0.002752,0.027963,0.076974,0.0,0.115065,0.141355,0.19233,0.0,0.0,Regulado,PVPC,0.0,0.026557,5.11,0.033886,0.008528767,100.0,100.0,100.0,10.0,84.87391928999786,11.5065,14.1355,19.233
60,60,EDP,Solar Duo,0.0942237,0.0273119,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.105,0.183,0.183,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,69.24541893152401,10.5,18.3,18.3
61,61,EDP,Solar Duo,0.0942237,0.0273119,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.105,0.183,0.183,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,69.24541893152401,10.5,18.3,18.3
62,62,EDP,Ahorro Solar,0.0942237,0.0273119,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.125,0.145,0.183,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,67.164240931524,12.5,14.499999999999998,18.3
63,63,EDP,Ahorro Solar,0.0942237,0.0273119,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.105,0.131,0.181,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,63.001884931524,10.5,13.100000000000001,18.099999999999998
64,64,Comercializadora de Ultimo Recurso,PVPC,0.0081915,0.000527,0.061375,0.002128,0.002752,0.027963,0.076974,0.0,0.115065,0.141355,0.19233,0.0,0.0,Regulado,PVPC,0.0,0.026557,5.11,0.033886,0.008528767,100.0,100.0,100.0,10.0,84.87391928999786,11.5065,14.1355,19.233
65,65,Baser,PVPC,0.0081915,0.000527,0.061375,0.002128,0.002752,0.027963,0.076974,0.0,0.115065,0.141355,0.19233,0.0,0.0,Regulado,PVPC,0.0,0.026557,5.11,0.033886,0.008528767,100.0,100.0,100.0,10.0,84.87391928999786,11.5065,14.1355,19.233
66,66,TotalEnergies,A Tu Aire Ahorro,0.0684,0.0684,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0841,0.1012,0.1442,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,54.632283772,8.41,10.12,14.42
67,67,Lucera,Precio de coste,0.07,0.003,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.096,0.13,0.182,0.0,0.0,Libre,TRAMOS,4.9,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,56.40567867,9.6,13.0,18.2
68,68,Imagina,Plan noches y findes,0.021,0.095,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.092,0.121,0.178,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,59.36210764,9.2,12.1,17.8
69,69,Factor,Fija,0.0805,0.0031,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.1583,0.2175,0.2627,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,84.269645944,15.83,21.75,26.27
70,70,EnergyGO,Variable,0.0887,0.0228,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.1207,0.1508,0.1999,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,68.142944485,12.07,15.079999999999998,19.99
71,71,Escandinava de Electri,Transparente,0.077885,0.008382,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.105974,0.136567,0.188975,0.0,0.0,Libre,TRAMOS,3.9,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,60.64322647493,10.5974,13.656699999999999,18.8975
72,72,Som Energia,Por Periodos,0.0752712,0.0083808,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.118,0.154,0.212,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,66.41215361308,11.799999999999999,15.4,21.2
73,73,Fenie Energia,PRECIO 3 PERIODOS 2.0TD,0.069566,0.002654,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.159096,0.184857,0.247023,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,77.4722642298,15.9096,18.485699999999998,24.7023
74,74,Fenie Energia,NUESTRO MEJOR PRECIO kWh 2.0TD,0.11701,0.03377,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.081376,0.107137,0.169303,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,59.506425772200004,8.1376,10.7137,16.930300000000003
75,75,Pepe Energy,Variable,0.069567,0.0807,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.1482,0.1817,0.2335,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,83.21753299893,14.82,18.17,23.35
76,76,Aldro,Tendencia Luz,0.0694,0.0026,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.08,0.114,0.168,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,50.972647880000004,8.0,11.4,16.8
77,77,Gana Energia,Precio de Mercado,0.0694,0.0026,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.08,0.114,0.168,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,50.972647880000004,8.0,11.4,16.8
78,78,CHC Energia,Plan Confianza Base,0.162835,0.162835,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.175736,0.175736,0.232736,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,105.70084232730002,17.5736,17.5736,23.2736
79,79,CatGas Energia,2.0TD,0.08951,0.0287671,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.115065,0.141355,0.19233,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,66.299868163309,11.5065,14.1355,19.233
80,80,Integra Energia,2.0TD DH,0.13,0.13,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.115065,0.141355,0.19233,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,82.52215015000003,11.5065,14.1355,19.233
81,81,GoiEner,2.0TD,0.0750456,0.0081338,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.181588,0.217756,0.275113,0.0,0.0,Libre,TRAMOS,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,88.378886350326,18.1588,21.7756,27.5113
